ticker,company name,short name,industry,exchange
AM,Antero Midstream Partners LP representing limited partner interests,Antero Midstream Partners representing limited partner interests,Oil & Gas - Midstream,New York Stock Exchange
AMAG,AMAG Pharmaceuticals Inc.,AMAG Pharmaceuticals,Biotechnology,Nasdaq Global Select
AMAL,Amalgamated Bank,Amalgamated Bank,Banks,NASDAQ Global Market
AMAT,Applied Materials Inc.,Applied Materials,Semiconductors,Nasdaq Global Select
AMBA,Ambarella Inc.,Ambarella,Semiconductors,Nasdaq Global Select
AMBC,Ambac Financial Group Inc.,Ambac Financial,Insurance - Specialty,Nasdaq Global Select
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A,Ambow Education Holding American Depository Shares each representing two,Education,NYSE American
AMBR,Amber Road Inc.,Amber Road,Application Software,New York Stock Exchange
AMC,AMC Entertainment Holdings Inc. Class A,AMC Entertainment,Entertainment,New York Stock Exchange
AMCI,AMCI Acquisition Corp.,AMCI Acquisition,Conglomerates,NASDAQ Capital Market
AMCN,AirMedia Group Inc,AirMedia,Advertising & Marketing Services,NASDAQ Capital Market
AMCX,AMC Networks Inc.,AMC Networks,Entertainment,Nasdaq Global Select
AMD,Advanced Micro Devices Inc.,Advanced Micro Devices,Semiconductors,Nasdaq Global Select
AME,AMETEK Inc.,AMETEK,Industrial Products,New York Stock Exchange
AMED,Amedisys Inc,Amedisys,Health Care Providers,Nasdaq Global Select
AMEH,Apollo Medical Holdings Inc.,Apollo Medical,Health Care Providers,NASDAQ Capital Market
AMG,Affiliated Managers Group Inc.,Affiliated Managers,Asset Management,New York Stock Exchange
AMGN,Amgen Inc.,Amgen,Biotechnology,Nasdaq Global Select
AMGP,Antero Midstream GP LP of Beneficial Interests,Antero Midstream GP of Beneficial Interests,Oil & Gas - Midstream,New York Stock Exchange
AMH,American Homes 4 Rent of Beneficial Interest,American Homes 4 Rent of Beneficial Interest,REITs,New York Stock Exchange
AMID,American Midstream Partners LP representing Limited Partner Interests,American Midstream Partners representing Limited Partner Interests,Oil & Gas - Midstream,New York Stock Exchange
AMJ,JPMorgan Chase Capital XVI JP Morgan Alerian MLP ETN,JPMorgan Chase Capital XVI JP Morgan Alerian MLP ETN,,NYSE Arca
AMKR,Amkor Technology Inc.,Amkor Technology,Semiconductors,Nasdaq Global Select
AMLP,Alerian MLP,Alerian MLP,,NYSE Arca
AMN,AMN Healthcare Services Inc,AMN Healthcare Services,Health Care Providers,New York Stock Exchange
AMNB,American National Bankshares Inc.,American National Bankshares,Banks,Nasdaq Global Select
AMOT,Allied Motion Technologies Inc.,Allied Motion,Computer Hardware,NASDAQ Global Market
AMOV,America Movil S.A.B. de C.V. Class An Depositary Shares,America Movil S.A.B. de C.V. An Depositary Shares,Communication Services,New York Stock Exchange
AMP,Ameriprise Financial Inc.,Ameriprise Financial,Asset Management,New York Stock Exchange
AMPE,Ampio Pharmaceuticals Inc.,Ampio Pharmaceuticals,Biotechnology,NYSE American
AMPH,Amphastar Pharmaceuticals Inc.,Amphastar Pharmaceuticals,Drug Manufacturers,Nasdaq Global Select
AMR,Alta Mesa Resources Inc.,Alta Mesa Resources,Conglomerates,NASDAQ Capital Market
